Gene	A19_uninfected	A20_uninfected	A21_uninfected	A22_uninfected	A23_uninfected	A19_influenza	A20_influenza	A21_influenza	A22_influenza	A23_influenza
UQCRC1	9047	9815	8224	6614	10007	11468	8393	9923	7662	6718
STARD3NL	2499	2963	2371	3703	3070	3091	2691	3728	3709	2630
CD9	19254	17943	13134	12325	19849	25848	20005	17518	13029	10230
HHATL	0	0	0	0	0	0	0	0	0	0
NCAPD2	827	1069	718	538	956	808	912	1005	719	600
IFFO1	200	322	189	133	630	226	400	308	233	279
GIPR	290	280	227	153	313	307	343	303	196	219
PHF7	209	283	129	164	369	200	268	230	207	153
SEMA3G	157	181	27	132	239	198	108	93	130	96
NISCH	1954	2013	1420	1603	2878	2139	2319	1857	1942	1723
STAB1	873	1435	662	549	1814	782	1157	843	666	864
FUZ	496	586	329	140	674	545	468	391	216	301
SLC6A13	10	11	5	20	26	38	7	16	20	31
IDS	4727	3664	3279	3258	4200	4533	2895	4197	3940	2988
PRSS3	82	85	63	71	94	72	85	92	80	73
ZNF200	160	184	124	150	185	139	183	174	215	185
CD4	3769	4209	2501	2365	5013	3913	4166	3448	2946	2971
LRRC23	525	591	357	327	537	669	665	391	419	393
BTK	263	170	234	276	490	250	204	250	301	398
HFE	0	0	0	0	0	0	0	0	0	0
SCMH1	2998	3131	1980	4626	3823	3336	3616	2875	5086	3031
FYN	5666	5813	3425	10227	8179	7062	12229	5679	10039	6691
HIVEP2	5312	4516	3735	19210	5100	8039	8867	6393	17019	8211
FMO1	196	338	143	148	401	185	260	180	221	121
ELOA	2929	2828	2357	3481	3087	3014	2291	2898	4007	2970
LYPLA2	2961	3972	2638	2803	3503	3366	2441	3941	3027	2720
CLCN6	1739	1141	983	1438	1602	1932	1644	1461	1625	1359
MRC2	1828	2620	1331	1181	3515	2263	2509	2084	1811	1946
NME1-NME2	3	10	2	3	5	2	6	7	7	2
SLC6A7	9	5	19	177	21	12	15	14	119	49
TSPAN9	2567	3351	1807	3924	4164	2628	3211	2922	3838	2685
BTBD7	2572	2980	2469	3426	3245	3503	3368	3443	3823	2817
APBA3	1163	1190	966	1714	1436	1444	1252	1413	1937	1265
MKS1	637	556	425	164	686	551	469	486	264	387
ABHD5	1174	1364	1273	1761	1344	1426	1235	1542	1739	840
ANOS1	489	993	785	567	678	899	696	1194	808	464
AKAP8L	502	418	381	590	752	707	732	579	635	597
MBTD1	1743	1841	1402	1429	1840	2074	2302	1927	1558	1268
UTP18	1850	1949	1174	2376	1971	2182	1578	1699	2474	1725
RNF216	4187	3933	2662	4161	4919	4190	3738	3537	4527	3490
TTC19	2015	1683	1561	1345	1855	2010	1621	2073	1588	1193
PTBP1	6949	6286	4430	7847	7127	7558	6166	6554	8621	6071
DPF1	29	25	17	20	51	23	28	24	24	21
SYT7	103	84	82	150	127	213	128	73	123	109
LARS2	638	781	401	658	810	508	645	686	918	740
PIK3C2A	5900	4458	4363	6828	4819	8618	7850	6376	6904	4723
PLAUR	9936	10548	7039	26320	10810	11019	9779	13367	33237	17355
ANLN	836	1132	617	101	602	662	385	850	94	318
WIZ	231	381	172	253	354	307	304	279	325	269
RABGAP1,RABGAP1	3631	3618	3209	4004	3470	4969	4479	4306	4669	3078
DCN	25972	38326	25522	7386	60541	40147	39784	23374	12658	23521
QPCTL	219	185	170	235	347	244	224	207	231	226
PPP5C	1457	1896	1063	1148	2196	1319	1417	1408	1376	1335
CEP68	606	518	391	597	871	616	813	529	658	557
MAP4K3	3471	3125	2815	4675	3442	4815	5271	3638	4910	2982
ZBTB32	42	59	24	97	112	36	32	74	116	288
TYROBP	1090	1488	1440	415	1246	1833	1172	1592	609	1080
TMEM159	1516	1253	1215	1303	1771	2286	1950	1471	1354	1051
GABRA3	31	46	28	54	38	85	69	64	45	46
BRCA1	497	541	350	132	374	350	425	338	156	194
ERCC1	2205	2437	1456	2236	2415	2263	2203	1943	2167	1451
CD22	189	123	81	335	436	116	147	143	321	308
SEMA3B	2335	1736	1529	2060	3444	4156	2114	1935	2489	2491
MBTPS2	1410	1119	901	889	1276	1246	942	1221	1339	856
PRICKLE3	941	635	597	1067	965	885	729	671	1045	741
LTF	270	892	1551	624	1000	436	840	1099	1065	1460
EXTL3	1438	1282	940	1391	1658	1083	1221	1219	1655	1030
NR1H4	8	9	6	5	22	41	16	13	3	17
ELOVL5	3375	3312	2331	4018	3706	4124	3750	3530	4524	4079
ALOX5	1366	1192	1267	923	2005	1722	1138	1547	1069	1398
KDM5D	2884	3	1813	2184	3300	2752	3	2379	2283	2278
CALCOCO1	5241	3852	4316	4678	7110	6482	5360	5839	5650	5227
UBR7	1235	1245	906	982	1401	1283	1219	1280	1150	882
MAP4K5	4471	4397	3465	6892	4740	7085	6151	4577	6662	3818
EHD3	549	370	129	840	1246	484	454	305	1016	1392
PSMC4	3848	4149	2751	4993	4371	4898	3640	4015	5630	4740
MAN2B2	735	836	554	567	1132	686	690	862	810	852
SLC7A14	0	0	0	0	0	0	0	0	0	0
CLDN11	876	822	607	507	1944	1064	1611	520	620	792
SLC25A39	3028	4327	2946	2004	3406	3068	2870	3652	2181	2549
MVP	8541	8753	4334	5614	11671	10195	8202	6033	7372	11169
NUB1	2806	2341	2484	4751	2637	4090	4130	3758	6396	6697
PGM3	3686	2116	2233	3781	2559	3569	2807	2771	4059	2674
RWDD2A	697	628	536	345	825	486	643	566	500	513
CLK1	8357	5291	4387	9191	7686	10743	10052	6355	8651	5886
POLR3B	526	624	362	459	624	463	476	592	599	508
ANGEL1	1664	1387	843	1987	1880	1205	1117	1438	2302	1184
RNF14	1106	1387	834	747	1265	991	1142	893	1023	774
DNASE1L1	77	69	59	42	93	63	61	79	45	47
DDX11	900	643	271	501	1216	858	660	378	561	737
HEBP1	916	770	672	866	1132	1241	1008	863	1017	744
GPRC5A	44196	22866	28534	34741	27722	55315	19141	38081	41339	25354
MAMLD1	451	279	301	2218	849	564	488	655	2943	1792
CD6	547	390	304	367	940	388	570	795	457	718
TACC3	582	944	405	159	823	458	573	677	181	448
UFL1	3790	4468	4165	2506	4032	4786	4969	5009	3157	2984
POLA2	1235	1064	878	3092	1237	1038	1503	1329	3287	2156
ZC3H3	1278	991	731	1314	1594	1161	932	1266	1902	1792
CAPN1	3523	4696	2969	2297	4924	3837	3051	3830	2791	3654
ACPP	275	231	303	158	168	196	71	258	245	101
MDH1	0	0	0	0	0	0	0	0	0	0
SLC30A9	4541	4157	3688	3096	4204	5145	4647	4851	3869	3023
MTMR11	1373	982	638	414	1707	1274	1228	740	427	595
COX15	0	0	0	0	0	0	0	0	0	0
CCDC88C	1499	1781	917	1246	1811	1891	1860	1389	1268	1382
YAF2	1703	2028	1439	2916	2122	2135	2399	1939	2989	1757
ZMYND11	3216	3583	2518	4258	3845	3471	2957	3640	4888	3169
WAS	314	441	293	161	569	423	349	433	291	412
DPEP1	53	44	36	54	88	78	63	58	57	75
BID	1719	1793	1396	3084	2662	2213	1723	1945	3463	2334
MATR3	0	0	0	0	0	0	0	0	0	0
NPC1L1	62	22	20	26	68	42	39	21	31	32
XYLT2	1974	1761	1144	983	2148	1684	1743	1539	1203	1091
RGPD5	6181	6280	6089	12773	4892	9298	9616	8117	11180	5235
STMN4	1	0	3	5	5	9	1	7	14	4
NUDCD3	5289	4723	3722	3892	5748	5318	4959	5094	4304	3484
ISL1	5	0	9	0	0	22	17	0	1	1
CHDH	512	467	538	207	494	560	372	660	357	260
IL20RA	105	193	206	59	175	237	183	248	77	185
CLCA1	6	4	1	5	6	29	5	3	7	1
CLCA4	4	1	0	8	2	27	2	9	3	4
GLT8D1	1290	1396	908	1060	2275	1517	1466	1481	1265	1301
ATP2C1	5545	5515	4202	6668	5271	6700	6026	6012	7036	4570
IGF1	404	664	542	94	3403	428	813	384	701	1432
SLC38A5	8434	5762	1987	6165	8736	8083	7015	2742	7507	6526
RALBP1	1419	2363	1584	1792	1913	2361	2092	2105	1874	1536
RUFY3	2904	2571	2246	2456	2892	3144	2986	3351	2426	1906
CNTN1	204	91	86	65	199	277	157	128	55	106
SLC11A1	1226	1140	1293	1632	1890	1569	983	1684	2063	712
WWTR1	11849	11257	7715	10853	12744	11976	10980	10485	11773	8596
AGPS	1380	2031	1460	1554	1962	1842	1693	2037	1946	1493
ZNF806	13	12	9	19	20	19	17	12	15	14
CXorf56	335	329	170	291	416	434	336	215	362	383
ATP1A2	110	73	55	12	239	156	143	41	15	62
TTC27	1681	1577	1371	1723	1977	1542	1631	1717	1933	1231
ZNF582	136	132	122	246	285	197	135	173	263	204
VSIG2	634	438	430	779	987	855	560	619	785	692
PHLDB1	1338	1124	735	2961	2015	1065	845	1022	3106	1264
MARCO	1824	2040	2895	1669	1251	3951	1756	2498	1991	834
CYP24A1	82	22	50	240	55	154	158	52	381	210
PRDM11	119	171	78	117	162	110	157	115	144	106
SYT13	0	1	0	9	1	27	3	7	1	5
SNAI2	1652	1301	631	3593	2198	932	987	725	3509	1368
CD74	61502	57913	55178	52737	72072	96765	78404	98992	78048	204203
HGF	2673	2744	947	3012	4299	2548	2662	1796	4080	6790
ZRANB1	746	826	597	1217	706	1202	1161	796	1106	614
NCDN	1017	902	660	825	1288	784	736	1024	973	1093
ADGRA2	171	149	84	329	358	178	239	117	346	126
CCT8L1P	0	0	0	0	1	0	1	0	0	0
ZFP64	806	661	468	332	927	605	531	601	509	612
MNAT1	1860	2503	1875	1297	1851	2487	2593	2259	1580	1420
SAMD4A	7187	6714	5011	30786	10766	10715	10275	8530	30561	15758
RUNX3	518	818	365	897	1056	644	1164	861	1017	1194
MRE11	1563	1522	1111	719	1563	1669	1457	1462	993	669
PLEKHB1	314	423	594	79	505	609	281	614	92	330
SERPINB1	4837	6371	5178	6798	5985	7318	5768	7252	8053	9482
CYP3A43	8	26	10	29	53	35	11	17	35	25
SLC7A9	45	28	33	20	74	41	64	28	37	60
SPAST	977	1104	727	823	1123	854	825	994	1081	633
NRXN3	1759	2064	2203	773	2067	3138	1977	2577	1030	4458
OSBPL5	1998	1779	1121	2838	2788	2337	2615	1600	2435	2427
AQR	3043	2841	2135	2359	2745	3292	2506	3143	2768	1923
CPS1	176	223	88	52	204	179	144	152	51	60
C8B	49	82	26	33	17	58	12	29	32	16
FHL1	4302	3706	2054	2899	5783	4888	4425	2851	3118	2209
RTF2	1367	1474	948	1038	1496	1541	1351	1264	1320	1065
GABRA1	1	2	2	4	3	13	3	1	0	0
NLRP2	181	283	640	34	208	235	249	525	62	285
SLC45A4	381	666	425	372	448	530	614	540	354	607
RNF10	9279	7050	6919	8626	9809	11142	8664	9668	10138	7355
ZNF839	131	179	169	80	180	147	151	195	101	120
ZDHHC6	2545	2242	1682	2249	2577	2313	1883	2406	2496	1977
GRAMD1B,GRAMD1B	64	59	68	30	105	102	158	134	78	109
RNH1	10553	11894	9626	10593	12891	12301	10205	11664	11144	9924
NDUFS1	2867	3044	2267	2969	2924	3138	2465	2543	3289	2554
RB1CC1	9829	8849	8388	12484	7190	13915	11485	9425	12402	5873
ERP44	6191	6234	5910	6431	6082	7948	7375	8158	8001	7393
ALAS1	3777	2741	2982	5633	4350	4590	3109	4399	6195	7595
BIRC3	11220	9005	8190	33807	11247	16859	18170	18738	36834	29725
AKAP11	1899	2730	1655	1418	2303	2320	2396	2133	1461	1363
GLRX2	311	647	388	510	482	407	459	434	484	351
SNAPC1	1325	1269	1262	2341	1741	1953	1714	1498	2405	1355
DERA	2824	3028	2525	2282	3388	3317	3038	3284	2534	1908
STRAP	5913	5709	4060	6275	6148	7007	6011	5274	7247	5146
ABCC2	122	167	134	147	204	118	193	188	111	114
DEF6	485	521	378	331	972	433	516	498	353	456
PLEKHO1	588	1311	594	1785	1057	1012	1356	1059	1707	1181
GCLM	1026	1542	1615	1045	1402	1567	1426	2045	1724	2023
UBR2	5547	4908	4469	6409	4602	7308	8361	6501	7167	6151
EHD2	11796	8801	6557	7596	12172	9793	8019	8870	8704	6512
DEPDC1	89	154	159	14	51	68	136	165	4	56
CCDC28A	1895	1755	2121	1362	2094	2969	2285	2212	1455	1509
RRAGD	988	775	867	684	760	1513	1481	1103	758	674
HSF2	1302	952	905	1200	1124	1616	1334	1210	1392	735
PHF20	4150	3992	3079	7199	5059	5093	5118	4366	7021	4534
HSD17B6	589	537	553	639	544	620	328	721	617	344
NR1H3	598	843	558	304	761	568	639	741	441	498
TYMP	1041	1488	2035	5796	4025	2892	4384	8455	10772	19392
NCAPH2	1674	1750	1484	1496	1945	1796	1480	1854	1757	1474
TOMM34	131	118	73	210	154	148	91	130	198	125
SEC63	8829	9562	7841	8981	10341	13160	11561	10054	10210	7909
KPNA6	1247	1045	947	1527	1356	1520	1565	1107	1568	1245
VIM	10615	20876	8445	9148	14695	14528	16971	10252	9497	9742
