Gene	GSM5073707_neg_1	GSM5073708_neg_2	GSM5073709_neg_3	GSM5073711_neg_5	GSM5073714_pos_3	GSM5073719_pos_8	GSM5073720_pos_9	GSM5073722_pos_11	GSM5073724_pos_13	GSM5073729_pos_18	GSM5073730_pos_19	GSM5073732_pos_21	GSM5073734_pos_23	GSM5073738_pos_27	GSM5073739_pos_28	GSM5073744_pos_33
CDC27	82	54	30	70	178	13	70	398	1200	1088	147	119	19	81	5	656
SLC4A1	39	23	5	48	4	11	9	6	14	12	8	12	4	5	8	3
CALCR	20	9	0	10	3	3	1	4	3	2	3	5	3	2	2	3
HCCS	24	14	13	32	42	1	6	117	240	266	35	35	7	23	3	263
DVL2	46	25	16	65	74	3	20	114	285	345	64	62	10	36	7	771
PRSS22	47	52	17	32	2	3	17	61	223	310	46	70	12	34	5	448
UPF1	180	145	75	255	197	21	107	762	1376	2086	551	473	65	226	9	6921
SKAP2	31	11	1	20	189	8	69	112	106	78	15	11	9	5	3	32
SLC25A5	95	72	63	197	233	14	79	698	2152	1894	226	192	22	165	12	1654
MCUB	16	4	6	15	106	5	47	76	152	80	30	17	2	12	3	130
HOXA11	4	5	2	2	3	2	0	2	4	0	1	3	2	2	2	0
POLR2J	30	13	18	64	5	1	15	103	186	216	33	20	2	14	2	397
DHX33	19	17	5	51	22	2	10	56	203	293	43	36	4	26	2	375
MEOX1	6	7	1	12	5	3	1	4	19	11	3	7	1	2	2	24
THSD7A	39	49	7	36	8	4	6	53	297	413	22	35	2	41	8	59
LIG3	95	54	61	164	101	18	48	278	798	1340	340	176	30	110	4	3755
RPAP3	34	16	13	41	103	7	36	104	786	780	89	93	14	69	6	711
ACSM3	19	17	8	37	6	8	2	52	237	241	13	22	9	26	4	83
REXO5	37	14	1	26	7	3	4	15	199	195	39	49	6	16	5	215
CIAPIN1	23	16	1	31	42	4	12	87	343	327	32	38	6	22	1	471
SPPL2B	81	53	13	66	69	6	23	92	238	435	136	132	24	51	2	1437
FAM214B	45	45	5	46	3	4	7	77	175	159	42	53	11	21	5	567
COPZ2	18	7	5	18	10	3	1	15	84	84	11	9	1	10	3	68
PRKAR2B	55	53	23	43	34	4	10	130	797	749	72	143	5	74	1	508
MSL3	44	48	32	61	137	6	48	182	593	516	124	95	17	59	8	1385
CREBBP	153	154	51	198	324	39	125	529	1484	1836	329	351	41	158	36	3572
TSPOAP1	141	87	52	219	119	20	33	410	589	1087	442	339	65	128	12	3141
MPO	25	8	0	44	8	4	3	8	10	6	10	6	7	5	9	1
PON1	8	2	0	2	7	2	0	7	2	4	3	0	1	2	6	1
GCFC2	36	8	4	31	41	3	20	42	507	513	89	46	12	52	0	391
WDR54	89	30	21	129	51	2	14	189	548	867	208	125	20	95	5	2359
CROT	42	44	7	32	43	4	22	81	754	750	55	95	6	57	2	489
ABCB4	35	11	6	41	27	8	15	26	15	27	5	6	3	8	9	8
KMT2E	161	164	55	126	426	21	126	745	2842	2891	348	358	41	230	12	2421
RHBDD2	89	60	34	104	48	5	21	209	932	1107	225	173	22	91	5	5368
SOX8	26	8	4	48	28	1	5	1	7	2	3	3	3	0	1	8
IBTK	139	104	56	142	156	11	76	411	2036	2056	334	265	56	197	12	1097
ZNF195	55	35	22	34	51	6	19	66	659	537	51	82	9	50	4	463
MYCBP2	127	135	70	240	1111	58	342	698	4177	3865	390	552	90	291	28	2768
FBXL3	48	34	20	73	151	9	87	295	1307	1600	156	114	16	118	10	642
ITGAL	42	22	8	107	206	15	55	247	243	169	176	141	56	31	8	595
PDK2	22	12	7	54	18	7	14	83	242	325	64	40	9	17	3	710
ITGA3	102	121	51	120	64	11	25	283	880	1251	222	205	41	141	17	2684
ZFX	68	75	34	92	218	14	79	186	902	1080	134	192	27	89	5	1912
LAMP2	100	72	25	67	57	6	27	248	2197	2221	129	168	18	180	4	943
ITGA2B	26	14	1	27	21	9	9	17	23	33	22	11	7	7	12	5
ASB4	13	13	5	21	6	0	1	18	32	35	10	6	3	1	3	57
GDE1	82	103	59	113	53	4	28	448	1398	1393	172	225	18	145	4	1561
REX1BD	23	5	0	25	80	4	17	177	161	118	47	40	3	20	2	408
CRLF1	5	10	0	24	22	1	3	34	26	47	6	16	4	0	4	50
OSBPL7	52	27	17	62	23	13	5	25	188	214	46	66	19	24	6	375
TMEM98	35	29	31	60	19	1	2	122	347	552	61	79	5	51	1	880
YBX2	10	16	2	27	3	3	3	4	24	14	9	8	2	6	3	43
KRT33A	7	2	0	18	4	3	2	3	8	6	2	5	3	3	4	1
MAP3K14	33	21	17	85	110	4	27	83	168	226	66	76	8	31	5	335
ABCC8	54	24	10	71	17	6	9	20	33	21	12	31	7	16	12	8
CACNG3	9	4	5	25	4	2	2	5	1	2	2	3	1	1	1	0
TMEM132A	45	31	1	56	4	5	6	24	368	427	20	22	7	46	4	171
AP2B1	234	89	188	458	338	21	106	618	2072	2388	868	456	68	239	18	7478
TAC1	1	6	0	17	2	1	1	0	2	0	1	0	1	0	0	1
ZNF263	34	21	35	33	43	9	23	89	443	521	107	52	10	58	6	743
CX3CL1	76	36	35	81	18	5	12	234	1348	1572	81	140	16	129	3	3437
SPATA20	70	53	32	50	73	6	17	133	575	535	62	106	22	63	1	1057
CACNA1G	53	20	3	78	15	14	12	20	23	25	27	17	10	14	13	9
TNFRSF12A	13	18	2	15	2	2	3	7	45	39	6	12	5	8	3	111
DLX6	10	4	2	7	0	1	1	2	8	9	1	3	1	2	2	19
MAP3K9	79	47	27	84	24	8	25	106	294	421	78	117	10	29	8	1010
RALA	41	28	20	56	58	6	29	166	537	564	47	73	7	47	5	489
BAIAP2L1	127	80	86	146	39	10	24	667	1245	2137	624	337	73	181	4	5761
KDM7A	164	142	38	110	170	16	78	492	2116	2507	258	315	51	245	9	2093
ETV1	29	20	1	59	17	0	2	3	80	57	14	15	6	4	3	37
AGK	54	38	8	73	43	2	18	76	438	362	62	54	7	37	5	754
ALDH3B1	365	103	120	307	141	29	68	1698	1419	3996	1474	646	108	381	7	18337
TTC22	30	14	5	40	33	6	12	143	210	253	62	55	8	27	7	775
PHTF2	68	26	16	40	112	7	43	104	627	479	70	90	17	49	8	321
CCL26	8	2	0	9	0	0	0	0	6	8	0	2	0	2	0	0
FARP2	94	84	74	174	67	17	42	112	748	1110	204	222	25	102	15	2097
USH1C	44	21	14	51	9	10	8	58	37	118	86	68	23	23	8	219
GGCT	28	4	1	11	17	0	4	21	161	165	13	14	4	15	0	187
DBF4	23	14	7	30	32	4	23	83	284	186	27	19	1	17	6	71
TBXA2R	10	4	4	4	1	0	0	4	1	0	2	1	2	2	4	3
IFRD1	52	71	8	73	20	4	21	51	488	480	48	77	13	53	1	345
LGALS14	3	5	0	6	0	1	0	3	4	0	1	1	2	1	1	0
COX10	36	26	15	40	38	4	22	60	226	255	37	30	12	24	3	352
GTF2IRD1	80	81	20	91	13	13	10	116	507	718	138	124	18	56	8	839
PAF1	62	37	27	64	118	9	21	216	460	480	138	74	20	60	8	1429
VPS41	126	84	61	234	150	10	52	384	1031	1258	163	99	29	113	9	1297
ARHGAP44	46	21	11	99	11	5	10	84	266	453	104	58	16	50	7	1575
ELAC2	78	61	12	60	85	19	33	164	605	547	119	124	26	73	4	1258
SCIN	96	79	36	143	40	8	16	495	1751	1637	247	232	38	147	1	2149
ARSD	58	80	56	65	58	12	20	185	1134	1636	190	238	25	161	5	4773
PNPLA4	23	21	12	26	26	1	10	93	220	231	39	73	9	18	3	533
MYH13	17	12	9	48	9	7	6	10	19	22	13	14	5	7	6	6
ADIPOR2	46	53	12	48	103	8	32	56	575	805	74	77	7	76	6	1181
CDKL3	11	8	0	6	5	0	3	7	41	34	11	15	1	0	0	124
UPP2	14	11	0	21	0	1	2	8	3	11	2	6	1	1	4	8
PRSS21	8	9	0	18	3	0	0	11	7	16	5	3	2	4	1	4
MARK4	78	33	10	62	50	6	18	128	179	234	76	43	13	29	4	802
PROM1	689	376	197	424	85	36	29	796	3781	6484	1498	1240	164	647	7	9101
CCDC124	30	12	4	27	24	2	6	27	99	99	58	28	5	13	1	449
CEACAM21	7	3	0	15	40	4	10	3	13	8	11	17	3	3	4	25
PAFAH1B1	153	103	53	186	342	17	143	501	2559	3313	373	300	38	261	6	2951
NOS2	286	121	23	83	17	26	22	613	8384	5421	352	1036	48	399	16	4475
DNAH9	564	222	294	691	286	106	87	2027	3939	13648	3383	2129	459	1382	53	20524
KIAA0100	120	116	87	262	278	31	106	614	2559	3551	503	556	74	353	15	4762
SLC13A2	20	5	7	29	3	3	3	18	133	258	19	18	8	17	7	127
GAS7	70	55	42	185	89	8	48	242	382	568	252	69	34	57	7	4003
TRAPPC6A	27	5	6	36	40	2	18	30	149	152	25	28	2	16	5	330
MATK	36	12	0	45	24	5	10	115	40	39	44	41	9	7	3	110
CEACAM7	12	6	11	26	1	1	5	1	14	34	4	14	2	4	0	23
CD79B	7	4	1	11	121	4	37	0	3	1	2	1	3	1	3	0
SCN4A	40	19	5	57	24	16	10	12	18	20	11	14	11	14	14	7
ST7L	33	18	3	28	14	4	4	40	338	390	15	24	8	34	3	376
TKTL1	3	4	2	0	1	1	0	9	3	6	4	5	2	6	1	2
PAX6	76	78	27	98	6	5	4	59	476	382	39	40	2	35	5	314
RPUSD1	22	7	9	26	36	4	11	41	119	129	22	44	7	20	4	357
RHBDF1	45	37	10	53	2	5	7	34	181	168	21	48	8	13	5	102
LUC7L	66	50	40	29	83	6	22	103	452	684	146	131	26	88	2	793
CACNA2D2	37	15	17	62	21	3	8	16	54	60	20	16	7	9	8	48
BAIAP3	196	72	57	177	63	22	42	525	457	1235	613	376	89	119	6	9347
TSR3	24	9	5	17	32	9	13	141	200	198	83	50	3	21	1	581
PIGQ	64	33	12	69	23	2	5	122	180	359	82	64	17	38	3	1764
CRAMP1	21	28	18	46	20	3	11	24	118	195	48	44	6	30	3	395
TEAD3	41	41	23	60	18	5	7	46	279	325	78	85	9	44	0	823
SELE	9	9	4	14	4	2	3	6	11	11	5	4	4	9	3	3
DNAJC11	42	27	13	89	39	9	15	137	395	378	110	83	17	55	5	1220
FMO3	146	136	112	100	19	8	18	252	4681	1794	401	378	49	186	4	2341
MYLIP	41	45	11	50	69	6	29	178	507	414	94	90	10	57	0	739
NOX1	7	7	4	26	2	3	4	3	4	16	2	12	2	3	3	18
E2F2	21	14	3	20	7	0	7	4	43	16	7	5	1	2	4	36
PSMB1	117	48	34	127	154	6	46	337	1329	1093	155	153	13	103	6	1245
SYN1	8	5	0	7	10	0	0	3	2	7	1	4	1	2	3	7
JARID2	82	50	26	62	108	20	48	115	357	352	68	98	14	27	6	471
CDKL5	55	54	22	75	26	7	12	135	348	490	84	55	10	49	9	1001
CAMK1G	17	9	3	26	1	0	2	2	3	8	4	2	2	1	3	3
CDK11A	4	1	1	5	0	0	3	0	12	23	6	10	0	3	0	60
NADK	86	57	44	104	115	12	43	242	553	703	165	151	25	71	9	2490
TFAP2B	30	15	1	22	8	0	4	6	11	7	3	4	4	3	4	2
TFAP2D	10	3	5	24	3	3	5	5	7	5	5	6	0	5	1	1
DLEC1	228	190	186	286	123	45	34	696	1460	2865	1739	1076	274	398	23	8689
CYTH3	41	28	8	24	8	4	9	53	163	189	48	35	9	16	2	319
ADAM22	29	28	5	39	12	10	5	22	158	197	24	17	7	13	3	116
SYPL1	94	36	19	43	118	11	46	104	1969	2111	97	124	9	187	5	717
CYB561	116	44	44	138	59	9	16	402	1115	1723	287	252	40	158	6	7702
SPAG9	168	130	57	236	216	15	83	662	1591	2270	390	327	55	191	13	2506
CELSR3	76	44	11	97	38	11	11	29	54	29	23	24	10	11	22	53
AASS	28	26	5	39	17	6	6	14	411	406	37	56	6	49	4	337
PLEKHG6	46	39	14	42	17	1	3	58	183	186	71	63	14	29	6	499
SS18L2	8	7	6	11	63	3	13	119	119	135	16	17	0	15	2	103
MPND	18	6	6	25	20	6	8	66	110	95	34	36	7	11	2	281
MGST1	63	40	23	45	11	4	10	180	1328	1289	32	64	6	93	2	793
CRY1	32	14	4	54	22	2	9	29	258	405	72	48	10	33	5	620
PGLYRP1	13	7	0	9	1	0	0	1	0	1	1	0	1	1	1	0
NFIX	77	53	54	116	34	5	24	274	834	933	284	141	26	105	8	5752
ST3GAL1	62	51	20	77	149	9	57	50	713	644	55	98	12	50	3	724
MMP25	12	6	5	91	1	5	7	18	9	28	8	23	5	9	9	53
IL32	48	12	6	70	139	1	32	189	113	29	53	28	13	2	5	162
PKD1	169	123	44	211	234	43	33	499	907	1515	445	427	63	188	29	2637
MAPK8IP2	33	12	2	46	1	4	3	5	33	25	7	2	2	2	3	51
MED24	79	46	43	162	82	8	31	223	526	757	210	161	30	87	4	2771
RHOBTB2	22	19	5	69	156	15	54	49	150	181	50	28	9	23	6	611
HEATR5B	124	66	50	107	175	13	64	231	1238	1656	294	246	38	111	12	1671
SEC62	103	58	32	79	114	11	64	279	1575	2182	162	212	30	209	5	1325
RPS20	516	300	236	1005	2722	93	590	2428	6378	6711	797	759	108	566	85	6268
CSDE1	622	368	204	559	1110	53	454	1952	7629	7954	1072	952	132	759	36	9340
UBE3C	119	67	43	154	190	12	72	293	1171	1445	248	223	29	131	7	2196
REV3L	109	71	57	139	224	16	76	334	2367	2150	281	293	57	203	15	1591
TENM1	20	18	12	34	13	8	9	25	21	25	19	12	3	16	18	13
PAX7	73	97	38	128	20	5	7	139	1083	1089	152	156	20	106	4	2204
MASP2	17	7	2	50	2	3	3	12	7	4	10	8	3	3	12	3
IYD	25	16	5	36	4	2	1	2	75	57	27	13	5	8	3	140
FAM76A	47	20	12	73	20	8	15	49	285	314	83	64	7	36	2	920
TRAF3IP3	34	16	13	60	256	7	67	69	104	84	77	64	21	5	3	182
POMT2	43	60	13	73	12	12	7	68	190	334	138	73	16	41	4	1348
VTA1	47	32	20	55	87	4	41	216	788	749	62	68	18	66	1	481
MLXIPL	26	11	5	35	20	14	12	17	16	27	22	12	8	12	12	6
BAZ1B	134	104	39	211	335	22	136	512	1837	1829	253	269	49	173	19	3092
RANBP9	60	53	23	114	206	6	67	269	1203	1102	157	180	19	83	2	1058
ETV7	11	17	6	28	7	6	8	51	149	110	32	21	7	6	3	844
SPRTN	18	10	4	32	63	4	16	38	264	285	43	42	14	24	7	297
METTL13	22	19	17	34	87	10	17	102	350	473	70	77	10	47	3	943
DYRK4	36	11	15	46	16	3	10	3	125	217	27	23	4	13	2	173
ZNF207	157	139	73	123	243	15	107	449	2773	3126	282	292	51	241	13	1856
UQCRC1	79	43	21	98	103	15	40	421	1461	1560	228	156	22	109	9	2354
STARD3NL	40	16	3	21	46	2	10	81	349	367	44	38	4	41	3	351
CD9	367	177	52	191	26	9	19	442	3208	3617	187	298	31	289	0	5001
HHATL	14	11	4	30	2	3	1	15	11	12	22	11	2	11	1	124
NCAPD2	46	33	18	70	106	18	80	176	737	594	124	102	18	58	10	898
IFFO1	35	18	4	57	19	2	9	39	49	48	26	38	6	3	3	113
GIPR	70	52	36	69	7	3	5	88	142	427	179	95	25	53	1	1805
PHF7	18	20	1	34	8	1	7	27	185	172	55	36	9	16	4	412
SEMA3G	30	13	3	66	3	2	1	5	6	10	6	2	3	3	3	9
NISCH	91	73	31	169	154	13	45	260	834	1238	190	186	34	101	14	1713
STAB1	76	29	10	157	49	15	15	180	126	76	50	79	33	22	19	377
FUZ	38	11	12	60	31	7	10	121	290	497	142	74	16	71	11	1557
SLC6A13	28	4	0	17	14	1	3	26	42	40	22	13	5	13	2	140
IDS	28	22	19	19	54	1	10	94	160	269	70	58	14	21	2	1402
PRSS3	10	3	1	10	0	6	2	7	2	9	6	10	3	5	1	1
ZNF200	38	16	1	39	21	1	13	37	235	239	24	21	2	32	4	222
CD4	39	18	21	72	123	6	36	125	158	114	65	57	13	19	10	444
LRRC23	310	87	108	275	105	18	43	998	1420	2202	1421	580	139	263	2	12078
BTK	24	9	1	30	176	13	68	96	61	35	17	33	6	6	9	41
HFE	29	12	6	36	22	2	7	28	176	235	23	28	5	16	4	292
SCMH1	30	32	27	49	31	7	28	112	374	585	82	83	7	45	5	752
FYN	42	29	10	58	313	4	94	264	240	125	95	78	22	16	10	275
HIVEP2	80	73	51	131	378	21	124	268	777	814	154	190	27	105	18	1332
FMO1	7	4	11	22	2	1	3	3	20	161	2	2	4	17	2	14
ELOA	53	39	30	103	80	15	43	340	963	1081	186	177	23	133	5	2114
LYPLA2	66	35	15	82	92	6	16	169	363	378	91	56	14	32	7	1890
CLCN6	43	39	29	75	26	3	9	59	149	293	82	75	19	30	7	787
MRC2	51	18	23	98	25	13	7	26	64	165	22	29	3	12	11	97
NME1-NME2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A7	29	21	5	41	2	0	4	2	6	11	10	9	3	4	2	5
TSPAN9	47	36	9	86	2	2	1	55	328	416	36	47	6	32	3	461
BTBD7	80	39	27	96	116	12	25	183	1129	1387	158	127	15	127	9	1100
APBA3	17	21	2	42	51	2	7	106	80	82	28	23	8	10	4	203
MKS1	41	26	26	50	32	7	12	107	354	514	157	117	20	56	4	1368
ABHD5	54	37	23	57	69	7	34	87	574	552	73	99	9	50	9	507
ANOS1	28	5	7	18	12	3	6	36	1589	1720	49	52	11	136	6	542
AKAP8L	46	66	32	58	131	9	28	120	625	649	145	183	26	82	3	1207
MBTD1	75	38	11	59	55	3	36	107	581	642	42	71	11	61	4	401
UTP18	40	26	11	28	85	5	53	154	394	418	79	63	9	54	7	464
RNF216	96	82	24	112	196	20	50	193	608	904	180	155	38	75	12	1547
TTC19	53	36	11	36	43	2	15	132	866	986	63	111	6	70	4	564
PTBP1	171	123	51	168	286	12	118	489	1610	1521	331	208	35	151	10	5328
DPF1	32	13	0	32	3	2	4	10	5	10	8	4	3	3	1	20
SYT7	55	39	20	60	12	2	5	16	74	43	15	44	4	12	4	146
LARS2	52	35	19	83	54	10	16	52	484	599	113	84	14	47	9	881
PIK3C2A	118	118	42	132	127	11	52	351	2093	2015	212	259	49	170	9	1131
PLAUR	57	29	1	69	4	3	12	2	21	24	8	76	4	14	5	71
ANLN	12	11	10	32	11	2	16	19	634	152	20	9	5	12	3	77
WIZ	98	35	14	97	48	5	28	88	228	294	84	71	15	41	9	821
RABGAP1	96	101	43	94	104	11	46	135	1710	1939	195	250	36	150	4	1648
DCN	29	23	2	49	21	2	10	5	28	19	7	4	2	5	5	22
QPCTL	19	10	6	13	3	2	4	7	50	66	13	15	1	3	1	133
PPP5C	59	25	32	85	72	7	23	170	509	568	165	151	14	71	4	1645
CEP68	61	49	9	47	142	7	21	127	1088	1166	68	60	16	86	8	973
MAP4K3	92	87	21	59	55	4	19	216	1022	1213	102	137	23	120	3	748
ZBTB32	17	10	0	27	3	4	4	3	11	3	10	4	2	1	1	14
TYROBP	56	16	4	51	31	6	16	213	163	63	31	70	11	7	5	129
LDAF1	32	22	15	29	18	0	12	36	381	480	49	42	6	31	3	494
GABRA3	8	9	0	13	3	0	1	4	5	8	2	10	2	3	6	58
BRCA1	37	15	5	43	37	15	27	68	416	312	60	37	13	33	10	411
ERCC1	67	44	47	178	74	19	32	422	839	721	291	188	35	85	9	3430
CD22	27	10	3	69	420	15	109	13	7	36	15	31	5	5	20	11
SEMA3B	25	11	0	49	2	2	1	30	37	60	13	18	2	9	3	34
MBTPS2	19	12	8	51	14	4	4	58	331	308	30	26	6	25	1	320
PRICKLE3	9	9	14	25	4	4	6	3	97	121	18	4	9	14	3	195
LTF	32	14	3	67	107	6	46	6	119	125	6	11	2	21	7	286
EXTL3	59	43	34	92	36	2	14	93	266	395	55	55	13	47	11	724
NR1H4	6	6	0	5	5	0	3	6	5	6	4	7	1	1	5	0
ELOVL5	146	70	16	84	226	13	66	576	1305	1902	193	218	21	150	7	1753
ALOX5	39	17	1	49	137	8	41	169	90	92	21	28	12	6	6	158
KDM5D	36	0	3	40	10	8	11	113	706	931	149	9	20	79	1	0
CALCOCO1	131	108	37	120	76	18	45	324	782	1277	296	202	41	114	14	2667
UBR7	46	15	7	43	100	7	17	75	393	409	94	42	9	26	0	764
MAP4K5	64	52	9	39	123	8	31	266	985	1193	125	159	22	95	8	619
EHD3	11	13	4	14	75	7	21	17	68	152	27	21	1	8	1	160
PSMC4	64	52	33	64	62	11	40	242	638	642	146	144	25	70	2	1181
MAN2B2	67	48	18	97	64	7	18	166	600	683	116	155	22	76	5	1464
SLC7A14	22	10	0	43	5	5	3	5	10	8	2	6	2	4	4	4
CLDN11	11	12	8	9	0	0	1	0	0	2	2	0	0	0	0	3
SLC25A39	67	49	22	74	102	4	38	284	630	724	149	115	21	76	3	1285
MVP	232	172	91	266	233	21	82	914	1864	2346	755	569	101	230	10	6572
NUB1	50	36	27	54	115	18	63	391	869	945	173	152	28	86	11	4455
PGM3	27	28	24	73	33	7	22	82	618	835	87	94	16	66	4	487
RWDD2A	17	7	3	13	6	0	4	15	118	171	21	9	2	11	1	133
CLK1	79	103	35	47	142	11	77	160	1830	2692	217	257	44	243	12	1211
POLR3B	30	19	12	36	51	8	15	79	378	391	41	29	6	32	14	252
ANGEL1	25	27	15	32	29	5	9	48	207	262	46	41	9	32	3	517
RNF14	58	41	28	84	90	7	33	169	706	825	118	89	18	66	10	793
DNASE1L1	11	13	4	33	20	3	10	109	291	308	64	42	9	37	3	877
DDX11	49	45	19	81	40	7	21	46	422	362	36	46	10	37	14	687
HEBP1	8	3	4	12	2	2	5	1	113	107	11	20	4	20	2	100
GPRC5A	71	58	38	68	3	2	28	40	235	250	13	72	5	28	3	417
MAMLD1	7	6	3	6	3	5	6	11	34	44	10	17	5	9	7	54
CD6	35	32	10	56	80	3	26	52	72	77	70	52	10	16	3	260
TACC3	46	30	5	65	51	6	43	67	230	104	46	50	10	15	9	147
UFL1	95	51	34	54	113	4	35	200	1140	1228	119	127	15	106	0	782
POLA2	11	17	3	18	9	1	4	2	68	71	20	24	0	7	0	139
ZC3H3	49	26	11	51	39	5	10	46	121	129	50	62	10	16	10	528
CAPN1	247	192	61	241	197	22	99	720	2357	2666	468	455	59	232	16	4619
ACP3	14	6	0	17	7	0	2	29	53	106	4	17	1	6	3	84
MDH1	100	43	40	108	136	12	73	422	1838	1861	154	143	25	163	7	1390
