Gene	NLF_SiC_Un_1_S1_R1_001	NLF_SiC_Un_2_S9_R1_001	NLF_SiC_Un_3_S17_R1_001	NLF_SiH_Un_1_S3_R1_001	NLF_SiH_Un_2_S11_R1_001	NLF_SiH_Un_3_S19_R1_001
SEC63P1	7	4	1	7	8	3
LINC01708	0	0	0	0	0	0
GPR88	5	1	0	8	1	1
RWDD3	54	97	42	24	21	34
MAN1A2	3110	3037	1669	2797	1481	1667
LRIG2-DT	3	21	1	7	4	12
LPAR3	51	11	7	107	25	37
DPYD-AS1	0	0	0	0	0	0
CTTNBP2NL	1574	2374	1314	1177	962	856
RPS2P14	6	15	1	11	6	5
RBMX2P3	2	1	0	0	2	5
STRIP1	778	1173	707	487	459	475
TPI1P1	93	117	200	123	153	162
SLC25A24	1535	1427	710	939	600	735
PIFO	2	16	6	0	1	8
SLC25A24P1	0	0	0	0	0	0
TSPAN2	32	323	31	17	79	4
GAPDHP23	0	0	0	1	1	0
LINC01776	1	14	4	0	2	1
LRIG2	380	457	242	505	302	253
SLC35A3	367	492	235	421	229	285
AGL	526	607	257	462	284	233
SLC6A17	13	54	32	3	3	0
CD101-AS1	0	0	0	0	0	1
HSD3B2	0	0	0	0	0	0
RPL7AP17	0	0	0	1	0	0
CHIAP3	0	0	0	1	0	0
COL11A1	716	427	63	1010	528	16
RPS3AP12	1	0	0	0	1	0
GAPDHP64	3	1	0	0	1	2
RNPC3	145	440	140	225	230	233
SNX7	878	1175	855	471	681	774
LINC01709	0	2	0	0	0	1
SLC30A7	1585	1764	888	724	420	533
GSTM1	0	2	1	2	0	0
SEC22B	1749	2895	1369	3015	4535	3244
PTGFRN	41	213	53	70	174	35
BCAS2	497	654	538	417	396	558
ZNF326	672	968	531	696	434	480
TRIM45	86	96	23	59	20	19
RPS26P15	0	0	2	1	1	1
LOC100130018	0	0	0	0	1	1
NBPF17P	1	0	1	1	0	0
SEPTIN2P1	49	43	40	64	72	47
DPYD-AS2	0	1	0	0	0	0
VANGL1	355	644	400	452	352	277
LINC02788	0	2	0	0	0	0
VPS25P1	0	0	0	0	0	0
LINC01780	0	0	0	0	0	0
TENT5C	256	131	226	308	106	189
RPL7AP15	0	0	0	0	0	0
LINC01731	0	2	0	0	0	0
PIP5K1A	1689	2116	1539	1703	1454	1708
GDAP2	396	562	342	229	221	209
VDAC2P3	0	0	0	0	0	0
FTLP17	0	0	0	0	0	0
HYDIN2	17	31	4	11	29	4
HIGD1AP12	0	0	0	0	0	0
LOC100419654	1	0	2	1	0	0
TSHB	0	1	0	0	0	0
WDR3	684	721	568	597	627	698
LINC02798	2	13	3	2	2	2
PSMC1P12	0	0	0	1	0	0
SLC22A15	78	205	96	158	103	103
SCNM1	214	398	295	172	232	211
FLG	2	1	49	2	1	38
NHLH2	0	1	0	0	0	0
TRIM33	1455	1670	872	1386	562	606
FLG-AS1	3	1	52	4	3	45
CDC14A	95	98	56	118	68	48
CD53	0	0	0	0	0	0
MTIF2P1	3	4	0	1	1	0
FLG2	0	0	0	0	0	0
SRGAP2C	116	105	53	93	50	42
SPAG17	1	1	2	2	1	0
SRGAP2-AS1	1	0	0	0	2	0
TTF2	165	233	122	103	68	70
GATAD2B	753	1009	527	836	370	340
SLC6A17-AS1	0	0	0	0	0	0
NPR1	3	57	7	33	22	15
HNRNPA1P43	0	0	0	0	0	0
MAGI3	268	314	118	301	144	127
KCNC4-DT	0	0	0	0	0	0
LINC01649	0	0	0	0	0	0
RPL26P10	0	0	0	0	0	0
UBL4B	0	1	0	0	1	0
SLC27A3	161	497	185	158	185	71
GABPB2	163	220	136	261	149	197
CD5L	0	0	0	0	0	0
LINC01768	0	1	0	0	0	0
RPS19P2	0	0	0	0	0	0
FMO5	20	82	9	37	24	24
PDE4DIPP6	5	37	12	7	8	9
ELL2P1	58	100	76	113	187	161
LYSMD1	145	237	112	64	45	34
ELOCP19	2	4	2	9	3	3
PNRC2P1	1	0	0	0	2	0
NUP210L	0	6	0	1	0	4
DENND2C	112	150	58	101	75	87
DEPDC1	6	3	0	19	17	8
PKMP1	1	3	1	0	2	2
PPIAP7	0	0	0	0	0	0
LINC02806	0	1	0	0	1	0
GPR89A	82	81	59	58	44	64
INTS3	1008	1638	530	1279	599	455
GTF2B	491	475	376	559	712	777
MTCO2P21	0	0	0	0	0	0
TNFSF4	358	220	337	284	504	761
HNRNPA1P68	0	0	0	1	0	0
KCNJ9	0	3	1	1	0	0
CSF1	1297	3392	1194	6292	8695	3232
DHCR24-DT	2	1	0	0	0	0
LOC100421402	14	14	16	14	18	14
LINC02805	0	0	0	0	0	0
TNFAIP8L2	0	0	6	4	2	3
RGS5	5	9	2	12	6	4
NAP1L4P1	37	49	23	17	16	19
SEC22B4P	0	9	3	6	11	18
IGSF8	170	362	232	167	407	184
MPC2	646	925	1171	769	849	1115
TLCD4-RWDD3	11	6	6	3	0	2
LINC00624	5	11	5	8	2	5
C1orf112	48	62	29	23	21	18
FAM78B	7	2	3	2	1	2
LAMC1	26730	23760	14251	40696	17142	17955
LOC401957	96	98	53	96	84	77
CD1D	0	2	5	3	2	3
MGST3	950	1893	2537	1130	1527	2582
CASQ1	1	0	0	4	1	0
ILF2	1990	2390	2081	2971	3184	3427
TIPRL	853	961	676	811	528	864
NME7	250	269	220	137	142	254
RCSD1	0	1	0	0	0	0
FDPSP1	5	11	8	7	5	13
SFT2D2	948	1204	614	673	184	246
FAM78B-AS1	0	0	0	0	0	0
UCK2	320	362	355	349	427	538
PIGM	418	518	270	228	145	110
FAM20B	1909	2160	1255	1423	1085	1124
RPSAP16	0	1	0	0	0	0
QSOX1	44412	37561	17984	88578	47381	34266
LRRC8D-DT	2	1	0	0	0	0
POU2F1	289	411	166	297	162	141
KIFAP3	886	1165	390	569	509	366
LAMC1-AS1	16	28	8	28	13	9
MTCO1P14	0	0	0	0	0	1
TBX15	1	1	0	0	0	2
LOC729867	5	9	8	12	3	5
RPL34P1	0	0	0	0	0	1
RPL26P11	0	0	0	0	0	0
MRPS10P1	0	0	0	0	0	0
RXRG	0	2	2	0	3	0
LINC01657	0	0	0	0	1	0
TPR	2891	4555	1740	3526	2594	1944
ATP1A2	13	98	2	6	15	2
METTL18	75	75	74	59	31	70
RPS10P8	0	0	0	1	0	2
LOC101928372	0	0	0	1	0	0
PRELID1P7	0	0	0	4	0	0
CRYZL2P-SEC16B	0	1	0	10	2	5
EXTL2	937	953	854	1177	800	825
KIRREL1	5537	4444	2803	5249	2562	2720
LOC284685	8	9	2	8	12	2
DDX59	166	175	159	223	256	292
NIBAN1	1560	2037	477	743	747	749
WDR82P2	16	21	11	14	10	12
RPL5P6	2	1	0	2	1	1
LHX4	18	43	9	91	46	34
LAMC2	134	189	142	152	117	137
DDX59-AS1	0	0	0	3	3	0
CD58	103	184	169	50	110	92
HSPE1P6	0	0	0	0	2	0
EEF1A1P14	5	8	2	8	7	3
XCL1	0	0	0	0	0	0
LINC02818	0	2	0	0	0	0
RPS24P5	0	0	0	0	0	0
SETP9	0	0	0	0	0	0
LINC02770	0	0	0	0	0	0
KCNJ10	0	3	0	0	0	0
NUF2	6	6	12	8	2	0
LOC646870	0	0	0	1	0	1
MFSD4A	16	9	1	6	3	2
TBX19	23	31	25	33	26	26
GCSHP5	16	15	17	6	2	11
NR5A2	3	0	0	0	0	1
LINC02803	1	0	0	2	4	1
SCYL3	197	273	145	130	110	99
DUSP10	621	832	502	893	769	842
KIRREL1-IT1	0	0	0	0	5	0
LOC647132	1	8	3	3	0	0
LINC02802	11	1	0	3	0	1
NMNAT2	49	36	112	27	9	41
CCT8P1	208	268	198	166	178	322
LINC01139	1	0	0	3	0	0
TARBP1	448	577	301	611	305	323
LY9	0	0	0	0	1	0
TDRD5	0	0	0	0	1	0
LOC100131939	0	1	3	0	1	0
SCCPDH	1063	1441	763	1039	551	817
CEP350	1517	1756	706	2440	1477	980
ELK4	727	685	377	1325	466	485
FTH1P2	63	192	76	148	212	199
TFB2M	227	269	198	179	124	118
LYPLAL1	168	228	184	244	314	408
MPZL1	4301	4129	2773	4574	3606	3744
INTS7	449	540	282	193	194	174
RPS29P5	1	4	2	2	2	2
CATSPERE	13	25	3	31	9	10
TFDP1P1	4	0	2	2	3	3
PRDX6	3356	4782	4601	3795	5675	10288
EDARADD	0	0	0	0	2	0
LINC01655	3	0	0	11	10	11
BRINP3	1	62	3	6	87	13
ATP5MC2P1	0	0	0	0	1	0
ADCY10	4	3	1	13	15	12
SELE	0	0	0	1	0	0
GPATCH2	412	444	259	294	256	333
SMYD2	581	614	590	468	155	427
SELL	2	0	0	1	0	0
DPT	3	46	0	7	48	0
CAPN8	0	0	0	1	0	0
RHOU	61	52	23	66	30	17
TOR3A	179	435	308	299	528	632
RPS3AP10	0	0	0	0	0	0
RNF2	821	636	402	427	247	320
KDM5B	3492	4573	2006	4293	3092	2314
RGS5	114	712	130	3948	424	240
CICP21	0	0	0	0	0	0
SPATA17	9	0	3	4	4	4
PRRX1	4823	3846	1512	11503	5719	4830
LINC02257	1	1	2	24	39	36
IVNS1ABP	881	2489	905	977	1062	1021
LYPLAL1-AS1	1	1	5	4	4	0
ERLNC1	0	3	1	1	0	0
ASTN1	19	21	7	14	2	0
RIMKLBP2	4	6	0	1	2	3
DTL	4	7	4	7	6	5
TRMT1L	378	607	246	387	176	215
LINC02474	0	0	0	0	1	0
LINC01347	0	1	3	0	1	8
SOAT1	955	1237	817	1871	1407	1319
BATF3	12	26	19	2	16	5
CNST	673	1121	542	361	325	424
FTH1P25	0	1	0	1	0	0
SOX13	50	76	85	150	24	122
SRP14P4	0	0	0	0	1	0
RPL27AP2	0	0	0	0	1	0
NID1	5554	3824	2058	11946	2071	3219
LINC01705	41	10	9	278	97	230
BTG2	969	1756	1087	1592	2405	2243
RPL21P28	7	1	3	6	2	3
ZNF678	108	56	55	131	28	35
KIF28P	3	8	2	13	2	0
MRPS14	372	534	331	282	219	369
SLC9C2	0	0	0	0	0	0
UBBP2	0	1	1	0	0	0
LHX9	44	266	3	10	9	0
DESI2	2160	2091	1133	1611	891	1211
SLC26A9	0	0	1	0	0	0
LINC01142	0	0	0	0	0	0
SLC45A3	35	37	69	25	4	28
ILDR2	0	0	5	0	1	2
KIF26B	443	151	244	134	23	82
RRP15	520	464	292	198	175	215
RPL7AP82	0	0	0	0	0	0
TMEM59	4520	8212	4467	6222	8025	8013
DHX9-AS1	2	5	0	2	4	5
CACYBP	909	1281	966	603	454	757
TMCC2-AS1	0	0	0	0	0	0
PPP1R12B	3060	1402	485	590	381	140
PTPN14	3273	7497	3149	1769	1899	1124
NEK2	1	0	1	3	0	0
C1orf53	22	70	84	19	46	40
ITLN2	0	0	0	0	0	0
PRELP	1058	3429	183	5140	3785	231
RAB4A	707	550	384	495	169	340
ENTR1P2	1	2	3	3	2	0
TOMM20	3893	3803	2749	6340	3353	4671
TADA1	128	154	111	129	69	125
REN	3	2	11	16	0	21
LINC01653	0	0	0	0	0	2
GS1-279B7.1	0	0	0	0	0	0
HMGB1P11	0	0	0	0	0	0
LINC00303	0	0	0	0	0	0
LINC01341	5	32	0	17	8	7
DHX9	2927	3569	2004	2720	2574	2317
BTF3L4	972	806	662	815	541	765
SWT1	151	237	113	104	93	96
FBXO28	1393	1758	1289	1397	730	1167
CEP170	2026	1500	850	1176	586	489
RPL4P2	1	1	1	3	0	1
COP1	826	895	558	733	559	653
FMOD	820	1467	224	224	142	32
SLAMF7	0	0	0	0	0	0
RGS18	7	2	0	44	9	46
GNPAT	737	954	441	651	580	536
TGFB2	217	804	348	376	372	504
ODR4	481	577	353	329	228	305
LINC01724	1	3	3	0	3	2
FMO4	26	29	0	16	16	0
RPL22P24	3	4	4	7	4	6
NSL1	489	430	333	379	259	320
HFM1	0	5	1	7	2	0
OR2T32P	0	0	0	0	0	0
ATP1A4	0	3	0	0	0	1
GALNT2	2240	4402	1860	637	1576	959
LINC01132	0	0	1	3	0	0
FMO1	5	1	1	3	0	1
SPRTN	251	301	214	151	126	199
EGLN1	243	228	171	375	192	220
LOC100420423	0	2	0	1	1	0
LINC02961	0	0	0	0	0	0
RPL5P5	3	0	4	4	2	3
GNG4	7	2	4	14	4	7
LINC00184	1	4	1	0	0	1
PAPPA2	2	25	3	7	63	25
TSNAX-DISC1	0	0	0	0	0	0
LINC02773	1	1	0	1	2	0
GOT2P2	13	6	8	10	3	4
LRRN2	0	2	0	5	6	0
PPP2R5A	698	802	411	1382	661	809
LOC124904542	3	14	2	4	3	2
OPTC	0	0	0	0	0	0
C1orf100	2	3	2	0	0	1
SUCO	1518	1560	1205	1525	1062	1497
ATF3	165	153	227	239	500	332
RNASEL	339	432	141	318	309	195
OR2L1P	0	0	0	0	0	0
PLXNA2	1195	2220	846	1117	899	696
SPATA45	1	1	0	2	1	1
PLA2G4A	22	309	75	220	867	603
EIF1P3	155	225	163	224	163	188
TOP1P1	32	24	10	39	15	22
LINC02869	0	1	1	1	0	0
ETNK2	170	76	184	66	2	12
HES2	3	47	17	0	15	3
SHCBP1L	0	0	0	0	0	1
LPGAT1	1533	1580	921	864	551	594
PROX1	58	67	25	17	2	0
LOC101927787	0	2	0	0	0	0
RPL23AP18	1	1	1	4	0	1
BRINP3-DT	0	0	1	0	0	0
DUTP6	1	1	1	5	1	1
PFKFB2	60	195	61	115	137	83
SNRPD2P2	0	0	0	0	0	0
NENF	280	505	429	694	913	991
TATDN3	160	245	105	205	161	209
HMGN1P4	6	3	9	4	2	6
LOC105372937	0	0	0	0	0	0
CAMK1G	113	27	80	90	0	5
ZNF672	202	320	242	202	180	214
LINC02771	0	0	0	0	1	0
LAMB3	332	599	281	609	806	318
DSTYK	914	1507	578	698	634	522
LINC01710	0	0	0	0	5	0
IPO8P1	3	2	1	1	0	0
ARHGEF10L	260	1079	406	142	585	177
TSNAX	593	528	325	831	516	741
LINC01138	18	61	23	14	29	21
NOS1AP	13	17	27	22	17	28
RNPEP	642	1401	941	945	1349	1195
ANGEL2	316	383	137	254	162	144
ITLN1	0	0	0	0	0	0
KIAA0040	3	6	0	1	0	0
RGSL1	0	0	0	0	0	0
DISC1-IT1	0	0	0	0	0	0
RPS5P4	0	1	0	0	0	0
RPS26P13	1	0	0	0	0	3
EXOC8	468	475	326	411	248	272
